filename,filepath,source,ground_truth,predicted_class,confidence,confidence_tier,is_correct,prob_crack,prob_normal,prob_hole,prob_scratch,prob_rust,width,height,aspect_ratio,blur_score,mean_brightness,contrast_rms,quality_status,quality_issues,has_gradcam
normal_00203.png,dataset/raw/normal/normal_00203.png,Held-Out Test Set (Split),Normal,Normal,0.7604,Medium (70-89%),True,0.1245,0.7604,0.0783,0.0082,0.0287,256,256,1.0,7.52,91.21,11.67,LOW_QUALITY,Potential excessive blur (Laplacian variance 7.5 < 80.0),Yes
hole_01815.png,dataset/raw/hole/hole_01815.png,Held-Out Test Set (Split),Hole,Hole,0.9879,High (>=90%),True,0.0013,0.0009,0.9879,0.001,0.009,256,256,1.0,135.07,71.27,11.9,VALID,None,Yes
hole_00312.png,dataset/raw/hole/hole_00312.png,Held-Out Test Set (Split),Hole,Hole,0.9996,High (>=90%),True,0.0001,0.0,0.9996,0.0001,0.0002,256,256,1.0,123.49,64.96,11.35,VALID,None,Yes
hole_02330.png,dataset/raw/hole/hole_02330.png,Held-Out Test Set (Split),Hole,Hole,0.9998,High (>=90%),True,0.0,0.0,0.9998,0.0001,0.0001,256,256,1.0,129.49,42.73,11.8,VALID,None,Yes
hole_02485.png,dataset/raw/hole/hole_02485.png,Held-Out Test Set (Split),Hole,Hole,0.9967,High (>=90%),True,0.0007,0.0007,0.9967,0.0001,0.0017,256,256,1.0,138.29,90.14,13.28,VALID,None,Yes
hole_00454.png,dataset/raw/hole/hole_00454.png,Held-Out Test Set (Split),Hole,Hole,0.9994,High (>=90%),True,0.0002,0.0,0.9994,0.0003,0.0001,256,256,1.0,60.87,164.6,17.05,LOW_QUALITY,Potential excessive blur (Laplacian variance 60.9 < 80.0),Yes
hole_02173.png,dataset/raw/hole/hole_02173.png,Held-Out Test Set (Split),Hole,Hole,0.9998,High (>=90%),True,0.0,0.0001,0.9998,0.0,0.0001,256,256,1.0,106.15,60.77,13.9,VALID,None,Yes
hole_00124.png,dataset/raw/hole/hole_00124.png,Held-Out Test Set (Split),Hole,Hole,0.9657,High (>=90%),True,0.0025,0.0015,0.9657,0.0023,0.028,256,256,1.0,93.36,87.75,17.59,VALID,None,Yes
scratch_01807.png,dataset/raw/scratch/scratch_01807.png,Held-Out Test Set (Split),Scratch,Scratch,0.999,High (>=90%),True,0.0003,0.0,0.0003,0.999,0.0005,256,256,1.0,62.33,87.48,15.77,LOW_QUALITY,Potential excessive blur (Laplacian variance 62.3 < 80.0),Yes
scratch_00322.png,dataset/raw/scratch/scratch_00322.png,Held-Out Test Set (Split),Scratch,Scratch,0.9718,High (>=90%),True,0.0184,0.0004,0.0069,0.9718,0.0026,256,256,1.0,97.86,78.98,14.52,VALID,None,Yes
scratch_02361.png,dataset/raw/scratch/scratch_02361.png,Held-Out Test Set (Split),Scratch,Scratch,0.9998,High (>=90%),True,0.0001,0.0,0.0,0.9998,0.0,256,256,1.0,75.49,78.67,13.3,LOW_QUALITY,Potential excessive blur (Laplacian variance 75.5 < 80.0),Yes
scratch_02542.png,dataset/raw/scratch/scratch_02542.png,Held-Out Test Set (Split),Scratch,Scratch,0.9678,High (>=90%),True,0.023,0.0013,0.001,0.9678,0.0069,256,256,1.0,233.71,158.65,14.06,VALID,None,Yes
scratch_00413.png,dataset/raw/scratch/scratch_00413.png,Held-Out Test Set (Split),Scratch,Scratch,0.9967,High (>=90%),True,0.0019,0.0004,0.0009,0.9967,0.0001,256,256,1.0,71.52,94.65,10.55,LOW_QUALITY,Potential excessive blur (Laplacian variance 71.5 < 80.0),Yes
scratch_02242.png,dataset/raw/scratch/scratch_02242.png,Held-Out Test Set (Split),Scratch,Scratch,0.9992,High (>=90%),True,0.0002,0.0001,0.0001,0.9992,0.0003,256,256,1.0,115.37,61.77,13.13,VALID,None,Yes
scratch_00123.png,dataset/raw/scratch/scratch_00123.png,Held-Out Test Set (Split),Scratch,Scratch,0.9932,High (>=90%),True,0.002,0.0023,0.0017,0.9932,0.0008,256,256,1.0,86.18,54.68,11.63,VALID,None,Yes
rust_01127.png,dataset/raw/rust/rust_01127.png,Held-Out Test Set (Split),Rust,Rust,1.0,High (>=90%),True,0.0,0.0,0.0,0.0,1.0,256,256,1.0,113.56,69.46,13.75,VALID,None,Yes
rust_00253.png,dataset/raw/rust/rust_00253.png,Held-Out Test Set (Split),Rust,Rust,0.9804,High (>=90%),True,0.0006,0.0004,0.0172,0.0014,0.9804,256,256,1.0,215.22,82.41,18.63,VALID,None,Yes
rust_00953.png,dataset/raw/rust/rust_00953.png,Held-Out Test Set (Split),Rust,Rust,0.9956,High (>=90%),True,0.0007,0.0003,0.0014,0.0022,0.9956,256,256,1.0,133.26,69.62,19.7,VALID,None,Yes
rust_00249.png,dataset/raw/rust/rust_00249.png,Held-Out Test Set (Split),Rust,Rust,0.9931,High (>=90%),True,0.0007,0.0014,0.0009,0.0038,0.9931,256,256,1.0,130.43,72.77,21.18,VALID,None,Yes
rust_01142.png,dataset/raw/rust/rust_01142.png,Held-Out Test Set (Split),Rust,Rust,0.954,High (>=90%),True,0.0021,0.0018,0.0375,0.0046,0.954,256,256,1.0,241.15,117.79,28.66,VALID,None,Yes
rust_01297.png,dataset/raw/rust/rust_01297.png,Held-Out Test Set (Split),Rust,Hole,0.3123,Low (<70%),False,0.14,0.0206,0.3123,0.309,0.2181,256,256,1.0,24.61,71.64,10.74,LOW_QUALITY,Potential excessive blur (Laplacian variance 24.6 < 80.0),Yes
rust_01352.png,dataset/raw/rust/rust_01352.png,Held-Out Test Set (Split),Rust,Rust,0.9813,High (>=90%),True,0.001,0.0011,0.0158,0.0008,0.9813,256,256,1.0,272.31,115.03,33.48,VALID,None,Yes
